Customer_id,Revenue_Total,N_Purchases,Purchase_DATE,Purchase_VALUE,Pay_Method,Most_Purchased
504347,14.3,1,25.03.21,14.3,2,Men's Grooming
504348,35,7,05.11.21,21.7,2,Shaving and Hair Removal
504349,3.9,7,10.04.21,1.755,2,Fragrances
504350,5.1,1,03.01.21,5.1,0,Health Monitors
504351,1.6,5,22.11.21,1.488,1,Fitness and Exercise
504352,11.3,6,22.05.21,7.006,0,Sports and Outdoor Recreation
504353,41.9,7,07.02.21,31.006,2,Baby Care Products
504354,22.7,2,15.10.21,12.031,2,Diapers and Wipes
504355,37.1,7,14.01.21,17.066,1,Baby Food
504356,5.7,2,31.08.21,1.71,1,Baby Gear and Nursery
504357,27.2,2,06.02.21,16.592,3,Toys and Games
504358,17.5,3,14.12.21,12.425,1,Electronics Accessories
504359,44.7,5,18.08.21,32.631,3,Phone and Tablet Accessories
504360,36,5,11.03.21,0.36,2,Computer Hardware
504361,30.6,6,03.07.21,0.612,2,Software and Apps
504362,5.4,7,25.11.21,3.078,1,Office Supplies
504363,17.9,3,07.01.21,1.074,0,Printers and Scanners
504364,22.1,7,15.03.21,4.641,3,Networking and Internet
504365,22.6,1,07.09.21,22.6,2,Home Security
504366,33.2,2,23.07.21,23.904,0,Smart Home Devices
504367,57.9,2,29.10.21,49.215,2,Audio and Headphones
504368,42.1,7,11.02.21,25.26,3,Cameras and Photography
504369,2,7,27.10.21,1.84,3,Gaming
504370,51.1,4,13.04.21,36.281,1,Books and Literature
504371,3.6,1,03.04.21,3.6,1,Movies and TV Shows
504372,31.4,3,28.08.21,5.024,0,Music and Instruments
504373,30.3,7,04.06.21,16.968,1,Arts and Crafts
504374,32.1,5,31.08.21,19.902,0,Sewing and Needlecraft
504375,2.9,4,28.07.21,0.348,1,Party Supplies
504376,34.1,6,28.02.21,28.644,0,Greeting Cards and Gift Wrap
504377,40.5,4,23.11.21,14.175,3,Home Improvement
504378,41.3,3,24.07.21,16.933,0,Tools and Hardware
504379,20.1,2,29.05.21,18.09,1,Automotive
504380,9.3,3,25.03.21,7.905,0,Emergency Preparedness
504381,58.7,7,22.01.21,58.113,1,Travel and Luggage
504382,41.9,7,29.03.21,14.246,1,Camping and Hiking
504383,53.9,6,06.09.21,10.241,3,Fishing and Hunting
504384,33,5,20.12.21,31.35,1,Cycling and Biking
504385,33.3,2,12.01.21,18.648,3,Exercise Equipment
504386,31.9,6,28.10.21,31.262,0,Yoga and Pilates
504387,11.5,4,22.03.21,10.35,2,Fitness Accessories
504388,54.9,4,19.06.21,13.725,1,Water Sports
504389,27.5,7,20.10.21,21.175,2,Team Sports
504390,14.5,6,11.03.21,0.87,2,Individual Sports
504391,13.6,2,26.06.21,8.296,0,Board Games and Puzzles
504392,40.3,1,26.04.21,40.3,1,Educational Toys
504393,2.2,4,29.10.21,1.518,0,Stuffed Animals and Plush Toys
504394,20.9,6,22.04.21,18.183,1,Dolls and Action Figures
504395,24.3,2,27.10.21,16.524,1,Building Sets and Blocks
504396,28,6,29.11.21,22.68,0,Outdoor Toys
504397,6.8,1,02.09.21,6.8,1,Arts and Crafts Kits for Kids
504398,5.1,6,25.10.21,3.723,2,Learning and Development
504399,22.7,7,20.03.21,4.313,3,Baby and Toddler Toys
504400,32.7,4,23.12.21,21.582,3,Party Games and Supplies
504401,50.5,5,30.05.21,39.895,1,Costumes and Dress-up
504402,19,5,30.08.21,2.47,1,Personalized Gifts
504403,29.1,2,12.12.21,14.841,3,Food Storage and Organization
504404,50.1,5,15.02.21,12.525,3,Cleaning Tools and Supplies
504405,51.3,5,27.03.21,19.494,2,Laundry and Detergents
504406,35.3,7,29.04.21,30.358,3,Dishwashing and Kitchen Cleaners
504407,26.4,7,17.10.21,0.528,0,Trash Bags and Bins
504408,33.4,6,29.12.21,4.342,0,Paper Products
504409,33.7,5,17.05.21,31.678,3,Pest Control
504410,37.7,1,06.09.21,37.7,0,Home Fragrance
504411,15.1,6,09.12.21,2.265,1,Air Purifiers and Humidifiers
504412,57.7,3,21.12.21,15.002,2,Water Filters and Purifiers
504413,33.2,4,14.04.21,25.564,3,Light Bulbs and Fixtures
504414,32.2,5,26.04.21,0.322,0,Home Security Systems
504415,20,2,17.09.21,6,1,Furniture and Decor
504416,39.9,3,25.02.21,18.354,2,Bedding and Linens
504417,38,5,25.06.21,32.3,1,Fresh Fruits
504418,33.7,1,20.09.21,33.7,0,Fresh Vegetables
504419,14.1,2,07.09.21,10.998,0,Dairy and Eggs
504420,20.5,4,27.11.21,6.355,1,Meat and Poultry
504421,32.4,7,12.01.21,30.132,3,Seafood
504422,44.9,6,06.09.21,22.45,1,Bread and Bakery
504423,1.6,4,28.03.21,0.464,1,Pantry Staples
504424,2.1,1,29.10.21,2.1,2,Beverages
504425,21.4,6,23.07.21,17.334,2,Snacks and Chips
504426,48.3,7,26.01.21,29.463,3,Frozen Foods
504427,33.1,3,15.01.21,32.438,3,Breakfast Foods
504428,37.1,5,27.04.21,11.872,2,Canned Goods
504429,18.3,5,17.06.21,10.248,1,Pasta and Grains
504430,35.5,4,21.12.21,17.04,2,Cooking Oils and Condiments
504431,9.8,6,07.10.21,6.664,0,Baking Ingredients
504432,32.2,2,21.11.21,4.83,1,Spices and Seasonings
504433,33.5,1,26.12.21,33.5,0,International Foods
504434,25.8,3,03.05.21,21.156,2,Organic Products
504435,12.1,1,14.12.21,12.1,0,Gluten-Free Products
504436,34.3,1,02.12.21,34.3,3,Vegan and Plant-Based
504437,21.8,1,21.03.21,21.8,3,Ready-to-Eat Meals
504438,24.4,2,01.04.21,9.76,1,Baby and Toddler
504439,14.8,4,19.03.21,14.652,3,Pet Supplies
504440,21.4,2,20.10.21,1.926,0,Cleaning Supplies
504441,34.8,2,11.09.21,26.796,1,Personal Care
504442,57.5,7,01.06.21,23.575,1,Health and Wellness
504443,3.3,7,03.01.21,1.749,0,Vitamins and Supplements
504444,10.1,4,12.03.21,5.151,1,Home and Kitchen Essentials
504445,27,4,22.04.21,18.9,3,Office and School Supplies
504446,11.1,7,12.12.21,2.109,3,Electronics and Appliances
504447,13.3,7,23.07.21,6.916,2,Outdoor and Garden
504448,39,2,17.06.21,11.31,0,Home Decor
504449,4.1,1,25.03.21,4.1,2,Clothing and Accessories
504450,35.3,6,20.02.21,29.652,0,Shoes and Footwear
504451,49.5,5,07.03.21,27.72,0,Beauty and Skincare
504452,5.6,1,26.02.21,5.6,3,Hair Care
504453,14.3,1,14.12.21,14.3,0,Oral Care
504454,41.5,1,22.01.21,41.5,2,Bath and Body
504455,38.1,4,14.02.21,28.575,2,Feminine Hygiene
504456,1.3,7,11.05.21,0.052,2,Men's Grooming
504457,20.4,3,22.06.21,5.304,1,Shaving and Hair Removal
504458,43.7,6,23.07.21,34.523,2,Fragrances
504459,46.1,6,04.06.21,10.142,0,Health Monitors
504460,21,1,25.09.21,21,2,Fitness and Exercise
504461,43.1,5,13.03.21,41.376,1,Sports and Outdoor Recreation
504462,43.7,3,06.03.21,15.295,0,Baby Care Products
504463,34.6,7,29.07.21,18.338,3,Diapers and Wipes
504464,5.8,5,12.01.21,3.074,2,Baby Food
504465,23.6,3,17.06.21,1.18,2,Baby Gear and Nursery
504466,30.5,6,07.09.21,17.69,2,Toys and Games
504467,50.9,7,08.04.21,19.851,0,Electronics Accessories
504468,20.8,5,13.01.21,18.096,2,Phone and Tablet Accessories
504469,27.2,6,11.01.21,19.312,0,Computer Hardware
504470,2.4,2,20.09.21,0.12,2,Software and Apps
504471,25.3,3,26.02.21,4.554,2,Office Supplies
504472,30.7,4,06.02.21,23.332,3,Printers and Scanners
504473,27.2,6,07.08.21,26.384,3,Networking and Internet
504474,34.9,5,04.10.21,2.443,2,Home Security
504475,25.1,3,29.12.21,16.566,3,Smart Home Devices
504476,20.1,2,26.07.21,5.226,0,Audio and Headphones
504477,8.1,5,21.07.21,2.187,1,Cameras and Photography
504478,38.3,3,28.02.21,9.575,0,Gaming
504479,9.5,2,11.11.21,6.175,2,Books and Literature
504480,55.9,4,20.05.21,21.242,1,Movies and TV Shows
504481,34.7,3,26.11.21,32.271,2,Music and Instruments
504482,33.7,3,08.03.21,2.359,2,Arts and Crafts
504483,39.9,3,29.11.21,30.324,3,Sewing and Needlecraft
504484,36.9,4,14.01.21,36.531,3,Party Supplies
504485,34.5,7,08.11.21,14.49,2,Greeting Cards and Gift Wrap
504486,48.9,1,12.06.21,48.9,0,Home Improvement
504487,39.8,3,01.12.21,23.482,1,Tools and Hardware
504488,45.3,6,15.03.21,21.291,1,Automotive
504489,34.1,7,17.03.21,12.276,0,Emergency Preparedness
504490,10,4,27.02.21,0.1,3,Travel and Luggage
504491,25.1,3,11.06.21,7.028,2,Camping and Hiking
504492,31.5,6,24.06.21,14.175,0,Fishing and Hunting
504493,18,3,12.11.21,16.38,0,Cycling and Biking
504494,24.2,3,01.12.21,14.036,1,Exercise Equipment
504495,17.4,1,11.12.21,17.4,1,Yoga and Pilates
504496,38.5,6,05.02.21,1.155,1,Fitness Accessories
504497,38.8,4,26.03.21,30.264,1,Water Sports
504498,51.1,5,12.12.21,6.132,3,Team Sports
504499,37.2,4,03.05.21,6.324,3,Individual Sports
504500,33.9,6,06.04.21,2.034,3,Board Games and Puzzles
504501,57.3,3,30.06.21,36.672,1,Educational Toys
504502,35.1,5,07.08.21,13.338,0,Stuffed Animals and Plush Toys
504503,24.5,4,20.03.21,16.17,1,Dolls and Action Figures
504504,35,4,13.02.21,6.65,0,Building Sets and Blocks
504505,16.4,2,15.09.21,4.428,3,Outdoor Toys
504506,37.7,7,28.02.21,26.013,0,Arts and Crafts Kits for Kids
504507,4.6,1,07.06.21,4.6,0,Learning and Development
504508,2.3,6,25.06.21,0.138,3,Baby and Toddler Toys
504509,31.9,6,16.03.21,20.097,0,Party Games and Supplies
504510,20.4,4,27.05.21,4.692,2,Costumes and Dress-up
504511,49.3,1,20.06.21,49.3,3,Personalized Gifts
504512,36.7,3,30.06.21,15.781,3,Food Storage and Organization
504513,56.7,7,16.10.21,5.103,0,Cleaning Tools and Supplies
504514,7.1,3,23.06.21,3.905,1,Laundry and Detergents
504515,21.9,3,19.07.21,9.198,3,Dishwashing and Kitchen Cleaners
504516,39.7,6,02.11.21,17.865,0,Trash Bags and Bins
504517,9.3,4,18.06.21,8.091,0,Paper Products
504518,23.2,6,23.09.21,0.464,3,Pest Control
504519,27.9,3,01.01.22,26.784,3,Home Fragrance
504520,46.1,3,06.02.21,4.149,0,Air Purifiers and Humidifiers
504521,52.1,5,11.05.21,3.126,1,Water Filters and Purifiers
504522,30.3,4,27.12.21,18.786,2,Light Bulbs and Fixtures
504523,35.3,7,05.05.21,14.473,3,Home Security Systems
504524,28.5,4,24.11.21,9.405,0,Furniture and Decor
504525,43.7,2,07.10.21,25.346,1,Bedding and Linens
504526,8.9,4,20.11.21,3.56,3,Fresh Fruits
504527,59.7,5,16.06.21,54.327,1,Fresh Vegetables
504528,9.1,7,21.09.21,4.368,1,Dairy and Eggs
504529,9.3,4,23.10.21,8.37,2,Meat and Poultry
504530,33.6,5,11.04.21,3.696,3,Seafood
504531,21.6,5,17.08.21,6.264,3,Bread and Bakery
504532,54.9,1,07.08.21,54.9,1,Pantry Staples
504533,28.4,4,19.11.21,21.016,1,Beverages
504534,28.9,5,02.08.21,3.757,1,Snacks and Chips
504535,26.3,6,30.09.21,17.884,0,Frozen Foods
504536,30.4,3,31.01.21,14.592,1,Breakfast Foods
504537,23.1,2,26.04.21,0.924,1,Canned Goods
504538,30.3,1,23.02.21,30.3,0,Pasta and Grains
504539,59.5,5,30.09.21,36.295,1,Cooking Oils and Condiments
504540,6.4,7,25.03.21,0.064,0,Baking Ingredients
504541,31.5,5,16.04.21,29.295,1,Spices and Seasonings
504542,26.7,1,01.10.21,26.7,1,International Foods
504543,39.5,6,31.05.21,29.625,0,Organic Products
504544,1.2,2,27.08.21,0.888,2,Gluten-Free Products
504545,37.1,6,06.08.21,20.034,0,Vegan and Plant-Based
504546,17.1,6,08.11.21,0.513,0,Ready-to-Eat Meals
504547,8.6,7,25.06.21,3.526,0,Baby and Toddler
504548,3.9,6,21.07.21,3.51,0,Pet Supplies
504549,26.5,2,25.09.21,11.395,1,Cleaning Supplies
504550,12.5,2,23.10.21,6.125,1,Personal Care
504551,28.7,7,12.11.21,10.332,0,Health and Wellness
504552,9.5,6,06.02.21,3.895,2,Vitamins and Supplements
504553,20,3,20.07.21,15.6,1,Home and Kitchen Essentials
504554,14,2,07.06.21,4.48,0,Office and School Supplies
504555,28.5,6,19.11.21,6.555,3,Electronics and Appliances
504556,56.7,7,25.07.21,15.309,2,Outdoor and Garden
504557,51.3,5,11.02.21,3.591,2,Home Decor
504558,33.1,7,14.02.21,14.564,3,Clothing and Accessories
504559,35.6,6,16.03.21,31.684,2,Shoes and Footwear
504560,38.5,5,05.07.21,37.345,3,Beauty and Skincare
504561,38.8,3,29.05.21,24.056,0,Hair Care
504562,29.8,5,10.03.21,9.536,1,Oral Care
504563,14.9,4,29.09.21,6.705,3,Bath and Body
504564,30,4,22.09.21,22.2,3,Feminine Hygiene
504565,35.5,4,17.04.21,12.425,2,Men's Grooming
504566,25.1,4,30.06.21,8.534,2,Shaving and Hair Removal
504567,30,4,14.11.21,20.7,3,Fragrances
504568,20.7,7,14.11.21,1.035,0,Health Monitors
504569,15.6,1,07.09.21,15.6,3,Fitness and Exercise
504570,31.3,2,20.05.21,26.918,0,Sports and Outdoor Recreation
504571,13.3,4,09.07.21,7.315,3,Baby Care Products
504572,21.2,1,16.09.21,21.2,0,Diapers and Wipes
504573,22.9,5,25.01.21,13.282,1,Baby Food
504574,5.9,3,28.12.21,4.484,0,Baby Gear and Nursery
504575,24.1,4,01.01.21,7.953,1,Toys and Games
504576,36.9,6,27.12.21,8.856,3,Electronics Accessories
504577,12.6,1,11.07.21,12.6,1,Phone and Tablet Accessories
504578,32.1,7,06.01.21,18.297,0,Computer Hardware
504579,18.1,1,15.08.21,18.1,3,Software and Apps
504580,20.6,7,31.03.21,14.008,2,Office Supplies
504581,14.9,3,05.03.21,5.811,1,Printers and Scanners
504582,53.5,2,18.03.21,41.73,1,Networking and Internet
504583,1.8,2,11.04.21,0.126,0,Home Security
504584,30.4,6,13.03.21,0.304,1,Smart Home Devices
504585,39.3,5,10.04.21,3.144,3,Audio and Headphones
504586,19,2,28.01.21,16.91,1,Cameras and Photography
504587,55.5,7,17.11.21,36.075,3,Gaming
504588,9.3,5,16.10.21,4.092,3,Books and Literature
504589,48.5,5,03.05.21,20.37,2,Movies and TV Shows
504590,32.5,1,12.07.21,32.5,0,Music and Instruments
504591,33.2,7,25.06.21,12.948,0,Arts and Crafts
504592,31.6,5,12.07.21,16.748,0,Sewing and Needlecraft
504593,38.1,1,13.08.21,38.1,0,Party Supplies
504594,4,6,25.12.21,2,0,Greeting Cards and Gift Wrap
504595,32.1,4,07.07.21,21.828,0,Home Improvement
504596,16.4,7,23.10.21,15.744,0,Tools and Hardware
504597,39.8,3,21.10.21,7.562,3,Automotive
504598,7.6,4,05.11.21,0.76,2,Emergency Preparedness
504599,33,4,18.07.21,2.64,1,Travel and Luggage
504600,23.4,5,24.04.21,9.36,3,Camping and Hiking
504601,39.1,4,15.06.21,30.889,1,Fishing and Hunting
504602,32.9,2,07.01.21,13.489,1,Cycling and Biking
504603,28.6,3,13.04.21,22.022,3,Exercise Equipment
504604,19.4,2,15.11.21,8.73,0,Yoga and Pilates
504605,34.7,5,19.01.21,31.577,2,Fitness Accessories
504606,58.7,1,25.09.21,58.7,1,Water Sports
504607,37.3,7,19.10.21,24.991,2,Team Sports
504608,43.5,2,13.10.21,41.325,1,Individual Sports
504609,52.9,5,16.09.21,11.109,3,Board Games and Puzzles
504610,10,6,14.06.21,6.4,2,Educational Toys
504611,25.7,5,16.04.21,3.341,1,Stuffed Animals and Plush Toys
504612,39.6,3,03.11.21,33.66,0,Dolls and Action Figures
504613,28.2,1,21.12.21,28.2,3,Building Sets and Blocks
504614,43.3,5,27.07.21,36.372,0,Outdoor Toys
504615,45.1,4,04.07.21,9.922,0,Arts and Crafts Kits for Kids
504616,1,6,06.05.21,0.8,0,Learning and Development
504617,6.2,1,04.11.21,6.2,3,Baby and Toddler Toys
504618,6.3,4,06.12.21,5.481,2,Party Games and Supplies
504619,37.3,5,01.01.21,21.261,0,Costumes and Dress-up
504620,55.7,5,01.12.21,42.889,2,Personalized Gifts
504621,0.7,3,25.06.21,0.084,2,Food Storage and Organization
504622,43.1,6,28.08.21,17.24,2,Cleaning Tools and Supplies
504623,58.3,7,06.08.21,25.652,2,Laundry and Detergents
504624,5.2,2,13.11.21,2.08,3,Dishwashing and Kitchen Cleaners
504625,25.5,4,03.01.21,13.515,1,Trash Bags and Bins
504626,30.7,5,05.07.21,17.806,1,Paper Products
504627,35.4,5,26.11.21,22.656,2,Pest Control
504628,35.9,5,14.10.21,22.976,1,Home Fragrance
504629,40.5,5,22.08.21,13.365,0,Air Purifiers and Humidifiers
504630,23.3,1,09.11.21,23.3,1,Water Filters and Purifiers
504631,5,3,11.06.21,2.5,2,Light Bulbs and Fixtures
504632,43.7,1,18.09.21,43.7,3,Home Security Systems
504633,35.6,6,01.01.21,27.056,3,Furniture and Decor
504634,14.4,3,12.09.21,4.176,1,Bedding and Linens
504635,11.1,1,11.04.21,11.1,0,Fresh Fruits
504636,30.9,1,28.09.21,30.9,3,Fresh Vegetables
504637,47.9,4,14.02.21,10.059,0,Dairy and Eggs
504638,26.7,1,07.04.21,26.7,1,Meat and Poultry
504639,39.5,4,09.09.21,35.945,0,Seafood
504640,31,3,10.11.21,10.23,2,Bread and Bakery
504641,35.2,4,13.06.21,5.632,1,Pantry Staples
504642,7.1,5,12.06.21,1.917,0,Beverages
504643,27.3,4,12.02.21,5.733,3,Snacks and Chips
504644,20.1,5,28.01.21,5.829,3,Frozen Foods
504645,0.6,3,24.10.21,0.084,1,Breakfast Foods
504646,48.5,3,05.10.21,35.89,0,Canned Goods
504647,15.9,1,26.06.21,15.9,3,Pasta and Grains
504648,22.4,7,21.05.21,10.08,0,Cooking Oils and Condiments
504649,29.9,5,17.10.21,18.239,0,Baking Ingredients
504650,30.8,1,28.09.21,30.8,1,Spices and Seasonings
504651,41.9,2,29.07.21,16.341,2,International Foods
504652,34.9,4,18.06.21,16.403,0,Organic Products
504653,34.1,5,04.11.21,19.437,1,Gluten-Free Products
504654,36.4,4,18.02.21,13.832,1,Vegan and Plant-Based
504655,47.5,4,01.11.21,45.125,0,Ready-to-Eat Meals
504656,21.8,4,25.05.21,7.194,1,Baby and Toddler
504657,33.7,1,11.03.21,33.7,0,Pet Supplies
504658,35.5,1,05.02.21,35.5,1,Cleaning Supplies
504659,30.8,5,25.01.21,24.948,2,Personal Care
504660,2.5,4,19.02.21,1.225,2,Health and Wellness
504661,30.9,5,07.02.21,23.484,0,Vitamins and Supplements
504662,18.4,6,04.08.21,10.488,1,Home and Kitchen Essentials
504663,10.2,1,07.04.21,10.2,0,Office and School Supplies
504664,25.8,5,24.09.21,22.704,2,Electronics and Appliances
504665,13.9,1,30.09.21,13.9,3,Outdoor and Garden
504666,36.2,7,25.04.21,7.964,2,Home Decor
504667,35.9,5,16.01.21,31.951,1,Clothing and Accessories
504668,27.8,7,03.07.21,13.066,1,Shoes and Footwear
504669,56.5,5,20.12.21,4.52,1,Beauty and Skincare
504670,9.4,1,13.06.21,9.4,3,Hair Care
504671,11.8,1,18.06.21,11.8,0,Oral Care
504672,1.6,2,21.04.21,0.064,0,Bath and Body
504673,38,6,07.10.21,29.26,3,Feminine Hygiene
504674,14.5,2,13.08.21,9.57,2,Men's Grooming
504675,1.9,6,19.04.21,1.216,3,Shaving and Hair Removal
504676,13.6,1,17.03.21,13.6,1,Fragrances
504677,16.5,4,24.08.21,11.55,0,Health Monitors
504678,14.4,1,03.03.21,14.4,2,Fitness and Exercise
504679,28.8,4,08.02.21,28.224,1,Sports and Outdoor Recreation
504680,7.3,4,07.10.21,0.146,3,Baby Care Products
504681,25.9,4,21.08.21,3.108,3,Diapers and Wipes
504682,26,2,01.09.21,15.86,2,Baby Food
504683,16.8,6,23.04.21,6.384,2,Baby Gear and Nursery
504684,38.9,4,12.05.21,10.503,1,Toys and Games
504685,36.3,2,29.07.21,20.691,1,Electronics Accessories
504686,34.2,3,13.01.21,29.412,2,Phone and Tablet Accessories
504687,11.9,6,30.11.21,3.332,1,Computer Hardware
504688,33.9,5,02.06.21,26.103,1,Software and Apps
504689,9.6,6,07.09.21,9.024,1,Office Supplies
504690,37.2,4,05.01.21,10.788,1,Printers and Scanners
504691,13.4,5,06.04.21,7.504,0,Networking and Internet
504692,51.9,5,13.10.21,7.785,3,Home Security
504693,2.6,2,16.11.21,0.416,3,Smart Home Devices
504694,19.3,4,17.07.21,15.826,3,Audio and Headphones
504695,21.5,5,27.02.21,5.59,2,Cameras and Photography
504696,45.7,1,07.06.21,45.7,0,Gaming
504697,16,3,29.01.21,10.72,2,Books and Literature
504698,14.2,1,07.08.21,14.2,0,Movies and TV Shows
504699,32.3,2,07.12.21,0.323,1,Music and Instruments
504700,34.3,3,31.05.21,20.923,1,Arts and Crafts
504701,30.3,4,15.01.21,9.999,1,Sewing and Needlecraft
504702,57.5,4,17.02.21,46.575,2,Party Supplies
504703,9.7,3,29.08.21,7.663,2,Greeting Cards and Gift Wrap
504704,38.7,2,05.02.21,31.347,2,Home Improvement
504705,33.6,1,04.04.21,33.6,2,Tools and Hardware
504706,39.9,1,20.11.21,39.9,3,Automotive
504707,25.3,5,11.09.21,3.542,3,Emergency Preparedness
504708,32.9,3,23.03.21,31.913,1,Travel and Luggage
504709,35.6,5,18.03.21,21.716,3,Camping and Hiking
504710,16.1,3,28.12.21,1.288,0,Fishing and Hunting
504711,18.8,5,02.09.21,8.648,0,Cycling and Biking
504712,37.7,3,11.04.21,34.684,2,Exercise Equipment
504713,8.6,6,11.09.21,6.192,0,Yoga and Pilates
504714,50.3,2,26.09.21,6.539,2,Fitness Accessories
504715,39.5,2,23.04.21,33.97,1,Water Sports
504716,27.8,4,04.07.21,12.232,2,Team Sports
504717,3.7,4,07.02.21,0.629,0,Individual Sports
504718,24,2,27.06.21,17.52,0,Board Games and Puzzles
504719,32.2,3,22.05.21,26.404,3,Educational Toys
504720,11.7,3,05.04.21,11.115,1,Stuffed Animals and Plush Toys
504721,9.4,5,19.04.21,7.896,1,Dolls and Action Figures
504722,19.4,3,31.01.21,8.342,2,Building Sets and Blocks
504723,30.8,3,01.12.21,4.928,1,Outdoor Toys
504724,49.9,4,08.06.21,10.479,3,Arts and Crafts Kits for Kids
504725,18.2,5,22.04.21,14.924,2,Learning and Development
504726,1.9,3,21.12.21,0.209,1,Baby and Toddler Toys
504727,13.9,5,02.06.21,11.676,1,Party Games and Supplies
504728,17.1,1,23.11.21,17.1,0,Costumes and Dress-up
504729,42.9,4,20.01.21,15.444,1,Personalized Gifts
504730,9.1,4,24.08.21,6.552,0,Food Storage and Organization
504731,16.7,4,21.02.21,10.02,2,Cleaning Tools and Supplies
504732,22.6,1,19.07.21,22.6,2,Laundry and Detergents
504733,28.7,2,16.12.21,7.462,1,Dishwashing and Kitchen Cleaners
504734,24.3,5,29.10.21,22.356,2,Trash Bags and Bins
504735,41.1,4,21.05.21,24.66,3,Paper Products
504736,6.7,4,19.06.21,6.7,2,Pest Control
504737,11.3,3,19.03.21,6.554,3,Home Fragrance
504738,21.9,1,05.02.21,21.9,3,Air Purifiers and Humidifiers
504739,9.7,2,22.05.21,6.887,2,Water Filters and Purifiers
504740,2.5,3,10.06.21,1.6,0,Light Bulbs and Fixtures
504741,19.4,6,15.02.21,0.97,1,Home Security Systems
504742,44.3,7,24.11.21,19.049,3,Furniture and Decor
504743,32.7,3,21.02.21,26.814,1,Bedding and Linens
504744,11,6,15.01.21,10.56,1,Fresh Fruits
504745,15.6,2,25.04.21,7.8,1,Fresh Vegetables
504746,44.5,1,20.11.21,44.5,1,Dairy and Eggs
504747,38.9,1,14.06.21,38.9,2,Meat and Poultry
504748,35.5,4,06.01.21,6.035,1,Seafood
504749,33.1,6,10.05.21,18.205,0,Bread and Bakery
504750,33.7,7,06.09.21,30.33,2,Pantry Staples
504751,15.8,1,31.03.21,15.8,3,Beverages
504752,12.4,5,05.03.21,10.044,3,Snacks and Chips
504753,25.1,7,21.03.21,23.343,1,Frozen Foods
504754,38.9,7,10.04.21,10.114,3,Breakfast Foods
504755,36.2,7,06.01.21,19.548,2,Canned Goods
504756,1.1,4,18.06.21,0.737,0,Pasta and Grains
504757,37.6,5,15.07.21,17.296,2,Cooking Oils and Condiments
504758,35.6,7,25.07.21,25.632,2,Baking Ingredients
504759,7,2,07.11.21,1.12,1,Spices and Seasonings
504760,17.9,1,05.12.21,17.9,0,International Foods
504761,4.3,3,15.01.21,3.44,1,Organic Products
504762,35.3,7,24.12.21,12.355,0,Gluten-Free Products
504763,24.8,6,15.09.21,6.448,0,Vegan and Plant-Based
504764,3.8,1,18.04.21,3.8,3,Ready-to-Eat Meals
504765,5.5,4,25.06.21,1.815,3,Baby and Toddler
504766,22.2,2,22.11.21,8.436,1,Pet Supplies
504767,29.7,2,14.02.21,23.166,1,Cleaning Supplies
504768,58.5,6,08.09.21,32.175,0,Personal Care
504769,52.3,1,09.10.21,52.3,0,Health and Wellness
