Customer_id,Age,Gender,Location,MembershipLevel
504395,62,1,New Jersey,Star
504396,17,1,Louisiana,Star
504397,21,0,Massachusetts,Star
504398,26,1,Indiana,Aurora
504399,54,1,New York,Star
504400,26,0,New York,Star
504401,43,0,Rhode Island,Star
504402,43,1,Florida,Star
504403,32,1,Arkansas,Star
504404,52,1,Virginia,Star
504405,49,1,Michigan,Aurora
504406,61,0,Maryland,Star
504407,50,0,Nebraska,Star
504408,32,1,Kansas,Star
504409,53,0,Virginia,Star
504410,36,0,Utah,Star
504411,33,0,Missouri,Star
504412,48,1,Arizona,Star
504413,21,1,South Carolina,Star
504414,35,0,Colorado,Star
504415,52,1,New Hampshire,Star
504416,30,1,Nebraska,Star
504417,31,0,Utah,Star
504418,55,0,Missouri,Star
504419,40,1,Arizona,Star
504420,24,1,South Carolina,Star
504421,36,1,Colorado,Star
504422,44,1,New Hampshire,Star
504423,24,0,Nebraska,Star
504424,42,0,Montana,Star
504425,55,1,Wyoming,Star
504426,30,1,Ohio,Star
504427,35,1,Wyoming,Star
504428,49,1,Oregon,Star
504429,58,0,Tennessee,Star
504430,22,1,Louisiana,Star
504431,24,0,Utah,Star
504432,23,1,Florida,Star
504433,58,0,Michigan,Star
504434,50,0,Kansas,Star
504435,39,1,South Dakota,Star
504436,32,1,Virginia,Star
504437,57,1,Connecticut,Star
504438,52,0,Kentucky,Star
504439,55,1,Georgia,Star
504440,47,1,Washington,Star
504441,36,1,Montana,Star
504442,62,1,Michigan,Star
504443,50,0,Alaska,Star
504444,56,1,Wisconsin,Star
504445,20,1,Rhode Island,Star
504446,58,1,Louisiana,Star
504447,46,1,Kansas,Star
504448,37,1,Georgia,Star
504449,46,1,Kentucky,Star
504450,62,1,Idaho,Star
504451,63,1,West Virginia,Star
504452,63,0,Nebraska,Star
504453,59,1,New Mexico,Star
504454,23,1,Alabama,Star
504455,44,0,Oregon,Star
504456,31,1,New Mexico,Aurora
504457,53,1,Michigan,Star
504458,35,0,Montana,Star
504459,47,1,Ohio,Star
504460,34,0,California,Star
504461,52,1,Montana,Star
504462,26,1,Pennsylvania,Star
504463,17,1,Oklahoma,Star
504464,37,1,North Dakota,Star
504465,52,1,West Virginia,Star
504466,54,1,Arkansas,Star
504467,34,1,California,Star
504468,38,0,Arizona,Star
504469,39,1,Rhode Island,Star
504470,60,1,Michigan,Star
504471,52,1,Oklahoma,Star
504472,31,1,New York,Star
504473,59,0,Vermont,Star
504474,60,0,Illinois,Star
504475,56,1,Georgia,Aurora
504476,29,0,Mississippi,Star
504477,49,1,Florida,Star
504478,42,1,Georgia,Star
504479,20,1,Nevada,Star
504480,48,0,Idaho,Star
504481,56,0,North Carolina,Star
504482,16,0,New Jersey,Star
504483,35,0,West Virginia,Star
504484,63,0,Colorado,Star
504485,30,0,Georgia,Star
504486,53,0,Alaska,Star
504487,21,1,Iowa,Star
504488,21,1,New York,Star
504489,55,0,Minnesota,Star
504490,40,0,Maryland,Star
504491,30,1,Rhode Island,Star
504492,39,0,Ohio,Star
504493,28,0,Hawaii,Star
504494,47,0,Idaho,Star
504495,57,1,West Virginia,Star
504496,54,0,Oklahoma,Star
504497,45,1,California,Star
504498,46,0,Wyoming,Star
504499,33,0,Arkansas,Star
504500,32,1,Mississippi,Star
504501,40,0,Alabama,Star
504502,23,1,New Mexico,Star
504503,40,0,Delaware,Star
504504,48,1,Nevada,Star
504505,41,1,Missouri,Star
504506,24,0,Alaska,Star
504507,47,1,Oklahoma,Star
504508,61,1,Maine,Star
504509,51,0,Tennessee,Star
504510,45,1,Wyoming,Aurora
504511,50,1,Wyoming,Star
504512,50,0,Massachusetts,Star
504513,18,0,Arizona,Star
504514,25,1,Texas,Star
504515,38,1,Illinois,Star
504516,21,1,Minnesota,Star
504517,19,1,Kentucky,Aurora
504518,62,1,Nevada,Star
504519,24,1,Massachusetts,Star
504520,35,0,Maine,Star
504521,56,1,North Carolina,Star
504522,63,0,North Dakota,Star
504523,36,1,Montana,Star
504524,40,1,Maine,Star
504525,49,0,Minnesota,Star
504526,57,0,North Carolina,Star
504527,22,1,Idaho,Star
504528,29,1,Vermont,Star
504529,32,0,Massachusetts,Star
504530,41,0,Nebraska,Star
504531,50,1,New Mexico,Star
504532,56,1,Michigan,Star
504533,30,1,Missouri,Star
504534,41,1,Vermont,Star
504535,30,1,New York,Star
504536,23,0,Kentucky,Star
504537,54,1,Vermont,Star
504538,45,1,Virginia,Star
504539,43,1,North Carolina,Star
504540,29,1,Florida,Star
504541,35,0,Indiana,Star
504542,29,0,Oklahoma,Star
504543,29,0,Nebraska,Star
504544,40,1,Oklahoma,Star
504545,53,1,Delaware,Star
504546,47,1,Indiana,Star
504547,60,1,South Dakota,Star
504548,36,1,West Virginia,Star
504549,43,1,Idaho,Star
504550,63,0,Illinois,Star
504551,19,1,Virginia,Star
504552,26,1,South Carolina,Star
504553,54,0,New Jersey,Star
504554,16,0,South Dakota,Star
504555,26,1,Massachusetts,Star
504556,48,1,Mississippi,Star
504557,59,1,Nevada,Star
504558,20,0,South Carolina,Star
504559,39,1,New Hampshire,Star
504560,47,1,Ohio,Star
504561,56,1,Virginia,Star
504562,20,1,New York,Star
504563,28,1,Vermont,Star
504564,38,1,New Jersey,Star
504565,57,1,Arizona,Star
504566,35,1,West Virginia,Star
504567,24,0,Georgia,Star
504568,40,0,Wisconsin,Star
504569,63,1,New Mexico,Star
504570,19,1,California,Star
504571,52,1,Washington,Star
504572,56,0,Texas,Star
504573,56,0,Pennsylvania,Star
504574,47,1,Texas,Star
504575,42,0,Alaska,Star
504576,27,1,New Mexico,Star
504577,43,1,Hawaii,Star
504578,54,1,Arizona,Star
504579,52,0,California,Star
504580,19,1,Louisiana,Star
504581,22,0,Arizona,Star
504582,49,0,Mississippi,Star
504583,35,1,Oregon,Star
504584,47,1,Massachusetts,Star
504585,44,0,Texas,Star
504586,35,1,Montana,Star
504587,24,1,Nevada,Star
504588,16,1,Iowa,Star
504589,27,1,Texas,Star
504590,53,1,New York,Aurora
504591,26,0,South Dakota,Star
504592,45,1,Vermont,Star
504593,39,1,Colorado,Star
504594,57,1,South Carolina,Star
504595,42,0,Wyoming,Star
504596,37,1,Florida,Star
504597,58,1,Oklahoma,Star
504598,43,0,Pennsylvania,Star
504599,24,0,Vermont,Star
504600,56,1,Mississippi,Star
504601,62,0,Oklahoma,Star
504602,53,0,Georgia,Star
504603,45,1,Indiana,Star
504604,48,1,Florida,Aurora
504605,16,1,Arizona,Star
504606,62,1,Nebraska,Star
504607,22,1,Massachusetts,Star
504608,52,1,Arizona,Star
504609,18,1,Mississippi,Star
504610,39,1,Wisconsin,Star
504611,57,1,California,Star
504612,61,1,Oregon,Star
504613,17,0,Colorado,Star
504614,62,1,Utah,Star
504615,50,0,North Dakota,Star
504616,26,1,Hawaii,Star
504617,49,1,South Dakota,Star
504618,63,1,Kentucky,Star
504619,23,1,Indiana,Star
504620,63,0,Missouri,Star
504621,59,1,Alaska,Aurora
504622,60,1,Arizona,Star
504623,25,1,Illinois,Star
504624,50,0,Nevada,Star
504625,52,0,Vermont,Star
504626,19,1,Maine,Star
504627,33,1,Kentucky,Star
504628,45,1,Wyoming,Star
504629,57,1,Michigan,Star
504630,45,0,Texas,Star
504631,54,0,Hawaii,Star
504632,62,1,Pennsylvania,Star
504633,49,1,Vermont,Star
504634,63,1,Oregon,Star
504635,28,1,Ohio,Star
504636,50,1,Alaska,Star
504637,54,1,New York,Star
504638,46,1,Connecticut,Star
504639,16,1,Oklahoma,Star
504640,49,1,Oregon,Star
504641,52,0,Florida,Star
504642,47,1,South Dakota,Star
504643,28,1,Michigan,Star
504644,28,1,Kansas,Star
504645,37,1,Pennsylvania,Star
504646,27,1,New Hampshire,Star
504647,62,1,Kentucky,Star
504648,18,0,Texas,Star
504649,35,1,Florida,Star
504650,36,1,California,Star
504651,50,0,North Carolina,Star
504652,18,0,New York,Star
504653,17,0,Oklahoma,Aurora
504654,45,1,New Jersey,Star
504655,19,0,Florida,Star
504656,29,1,New York,Star
504657,59,1,Massachusetts,Star
504658,61,0,Minnesota,Star
504659,21,1,Oklahoma,Star
504660,48,1,Pennsylvania,Star
504661,42,1,Alabama,Star
504662,49,0,Indiana,Star
504663,19,1,Vermont,Star
504664,44,0,Idaho,Star
504665,48,1,Maine,Star
504666,31,1,West Virginia,Aurora
504667,49,1,Washington,Star
504668,37,1,Alaska,Star
504669,26,1,Illinois,Aurora
504670,50,1,Indiana,Star
504671,59,0,Arkansas,Star
504672,53,0,Maine,Star
504673,36,0,Virginia,Star
504674,51,1,North Carolina,Star
504675,20,1,Rhode Island,Star
504676,37,1,Kansas,Star
504677,37,0,New Mexico,Star
504678,25,1,Texas,Star
504679,26,1,Oregon,Star
504680,50,0,Pennsylvania,Star
504681,63,1,Alabama,Star
504682,47,1,Georgia,Star
504683,29,1,Arkansas,Star
504684,52,1,Nebraska,Aurora
504685,20,1,Alabama,Star
504686,38,0,Missouri,Star
504687,16,1,New York,Star
504688,42,1,New Mexico,Star
504689,24,0,Maryland,Star
504690,26,1,Georgia,Star
504691,35,1,Illinois,Star
504692,46,1,Hawaii,Star
504693,50,1,Hawaii,Star
504694,28,1,Wyoming,Star
504695,40,1,Maryland,Star
504696,48,1,Oklahoma,Star
504697,53,1,Missouri,Star
504698,25,1,Colorado,Star
504699,58,0,Ohio,Star
504700,47,1,Oregon,Star
504701,39,1,Maine,Star
504702,40,0,New Jersey,Star
504703,20,1,Montana,Star
504704,57,1,Pennsylvania,Aurora
504705,44,0,Louisiana,Star
504706,52,1,Nebraska,Star
504707,23,1,Washington,Star
504708,62,1,Vermont,Star
504709,49,1,Arkansas,Star
504710,31,1,Maine,Star
504711,56,1,New Mexico,Star
504712,27,0,Michigan,Star
504713,60,0,Utah,Star
504714,16,1,New Hampshire,Star
504715,57,1,Utah,Star
504716,38,0,South Carolina,Star
504717,29,1,North Carolina,Star
504718,59,0,Rhode Island,Star
504719,56,1,Nebraska,Star
504720,18,1,West Virginia,Star
504721,47,1,Alabama,Star
504722,34,0,Washington,Star
504723,63,0,Iowa,Star
504724,49,0,Georgia,Star
504725,47,1,Georgia,Star
504726,23,1,Minnesota,Star
504727,46,0,Georgia,Star
504728,45,0,New Mexico,Star
504729,25,1,Michigan,Star
504730,24,1,New Jersey,Star
504731,23,1,Tennessee,Star
504732,24,1,Connecticut,Star
504733,63,1,Wisconsin,Star
504734,16,1,Illinois,Star
504735,29,0,Arkansas,Aurora
504736,38,0,Mississippi,Star
504737,58,0,North Dakota,Aurora
504738,54,0,Maine,Star
504739,56,1,New Hampshire,Star
504740,55,1,California,Star
504741,56,1,Louisiana,Star
504742,40,1,Alaska,Star
504743,50,1,Vermont,Star
504744,39,1,New York,Star
504745,25,1,Vermont,Aurora
504746,19,1,New Jersey,Star
504747,39,1,Arizona,Star
504748,31,1,Michigan,Star
504749,50,1,New Jersey,Star
504750,42,0,Georgia,Aurora
504751,55,1,Minnesota,Star
504752,58,0,Florida,Star
504753,17,1,Arizona,Star
504754,30,1,Maryland,Star
504755,42,1,Delaware,Star
504756,54,1,Pennsylvania,Star
504757,51,1,Oregon,Star
504758,25,1,Colorado,Star
504759,57,1,Colorado,Star
504760,21,1,Nebraska,Star
504761,24,1,North Dakota,Star
504762,41,1,Alabama,Star
504763,30,1,California,Star
504764,50,1,Washington,Star
504765,34,0,Arkansas,Star
504766,34,1,Connecticut,Star
504767,17,1,Georgia,Star
504768,40,1,Alaska,Star
504769,24,1,Minnesota,Star
504770,16,0,New Mexico,Star
504771,33,0,Florida,Star
504772,33,1,New Jersey,Star
504773,38,1,Arizona,Star
504774,40,0,Missouri,Star
504775,43,1,Oklahoma,Star
504776,26,1,Kansas,Star
504777,55,1,Maine,Star
504778,34,1,Minnesota,Star
504779,36,1,North Carolina,Star
504780,43,1,Wyoming,Star
504781,53,1,Indiana,Star
504782,48,0,Alaska,Star
504783,27,1,Georgia,Star
504784,46,1,Vermont,Star
504785,46,1,Minnesota,Star
504786,62,1,West Virginia,Star
504787,41,1,Virginia,Aurora
504788,62,1,South Dakota,Star
504789,42,0,Wisconsin,Star
504790,37,0,Kentucky,Star
504791,52,0,Vermont,Star
504792,49,1,Maryland,Star
504793,23,1,Arizona,Star
504794,26,1,Massachusetts,Star
504795,46,1,Pennsylvania,Star
504796,21,1,Virginia,Star
504797,46,0,New Mexico,Star
504798,30,0,New York,Star
504799,25,1,Colorado,Star
504800,50,1,Mississippi,Star
504801,40,1,Illinois,Star
504802,61,1,North Dakota,Star
504803,62,1,Delaware,Star
504804,56,1,New York,Star
504805,53,1,Virginia,Star
504806,30,1,Pennsylvania,Star
504807,33,0,Alaska,Star
504808,46,1,Louisiana,Star
504809,26,0,Montana,Star
504810,28,0,Rhode Island,Star
504811,57,0,Idaho,Star
504812,25,1,Nebraska,Star
504813,31,0,California,Star
504814,39,1,California,Star
504815,63,1,Kentucky,Star
504816,18,0,New Jersey,Star
504817,50,1,Arizona,Star
504818,62,1,North Dakota,Star
504819,40,1,Ohio,Star
504820,20,0,Arizona,Star
504821,43,0,Alaska,Star
504822,41,1,Maine,Star
504823,56,1,California,Star
504824,21,1,Pennsylvania,Star
504825,18,1,Pennsylvania,Star
504826,41,1,Illinois,Star
504827,38,1,West Virginia,Star
504828,34,1,Minnesota,Star
504829,28,1,Kansas,Star
504830,20,1,Mississippi,Star
504831,39,1,Florida,Star
504832,40,1,South Dakota,Aurora
504833,30,1,West Virginia,Aurora
504834,38,1,West Virginia,Star
504835,30,1,Illinois,Star
504836,16,0,Connecticut,Star
504837,60,0,Nevada,Star
504838,37,1,Hawaii,Star
504839,47,0,California,Star
504840,41,1,Massachusetts,Star
504841,23,0,North Carolina,Star
504842,30,1,Wisconsin,Star
504843,22,0,Nevada,Star
504844,59,0,Maine,Star
504845,57,0,Colorado,Star
504846,28,1,Minnesota,Star
504847,31,1,Nevada,Star
504848,45,1,Indiana,Star
504849,35,1,Arizona,Star
504850,53,0,Tennessee,Star
504851,62,0,Florida,Star
504852,16,0,Montana,Star
504853,51,0,New Jersey,Star
504854,24,1,Utah,Star
504855,60,1,Michigan,Star
504856,34,0,New York,Star
504857,21,1,Wyoming,Star
504858,61,1,Oregon,Star
504859,46,1,Connecticut,Star
504860,30,1,Maine,Star
504861,49,1,Maryland,Star
504862,52,1,California,Star
504863,23,1,Arkansas,Star
504864,21,1,Oklahoma,Star
504865,43,0,Wisconsin,Star
504866,21,0,Kansas,Star
504867,17,1,North Carolina,Star
504868,51,1,Washington,Star
504869,40,1,Vermont,Star
504870,40,0,Vermont,Star
504871,47,0,Delaware,Star
504872,42,1,Virginia,Star
504873,45,1,Missouri,Star
504874,61,1,Louisiana,Star
504875,36,0,South Dakota,Star
504876,48,0,South Carolina,Star
504877,52,1,Kansas,Star
504878,49,1,Texas,Star
504879,62,1,West Virginia,Star
504880,59,1,Kansas,Star
504881,21,1,Vermont,Star
504882,50,0,Maryland,Star
504883,28,1,Washington,Star
504884,39,1,Delaware,Star
504885,20,1,South Dakota,Star
504886,18,1,Oregon,Star
504887,30,0,California,Star
504888,54,1,Indiana,Star
504889,59,1,Alaska,Star
504890,42,1,Missouri,Star
504891,21,1,Kentucky,Star
504892,46,1,New Hampshire,Star
504893,61,0,Maryland,Star
504894,40,0,Montana,Star
504895,43,0,Wisconsin,Star
504896,28,1,Ohio,Star
504897,46,1,North Carolina,Star
504898,40,1,Washington,Star
504899,62,1,Massachusetts,Star
504900,59,1,Michigan,Star
504901,46,1,Nevada,Star
504902,17,1,Hawaii,Star
504903,29,1,Hawaii,Star
504904,25,1,Georgia,Star
504905,21,1,Wisconsin,Star
504906,21,1,Colorado,Star
504907,44,1,Oregon,Star
504908,44,1,Arizona,Star
504909,20,1,Louisiana,Star
504910,42,1,Nevada,Star
504911,58,0,Washington,Star
504912,44,1,Michigan,Star
504913,62,0,Arkansas,Star
504914,63,1,Georgia,Star
504915,44,0,Illinois,Star
504916,37,0,Oregon,Star
504917,54,1,Kentucky,Star
504918,17,1,Colorado,Star
504919,34,0,West Virginia,Star
504920,51,1,Alabama,Star
504921,51,0,Nebraska,Star
504922,31,1,Florida,Star
504923,52,1,New Hampshire,Star
504924,55,1,Oregon,Star
504925,61,1,Alabama,Star
504926,33,1,Illinois,Star
504927,51,1,Georgia,Star
504928,28,0,Arkansas,Star
504929,45,1,Arizona,Aurora
504930,60,1,Montana,Star
504931,38,0,Alabama,Star
504932,61,0,Wisconsin,Star
504933,31,1,Utah,Star
504934,28,1,Vermont,Star
504935,26,0,Michigan,Star
504936,54,1,South Dakota,Star
504937,58,1,Idaho,Star
504938,61,1,Missouri,Star
504939,28,0,Delaware,Star
504940,52,1,Hawaii,Star
504941,44,0,Utah,Star
504942,33,0,New Hampshire,Aurora
504943,34,1,Vermont,Star
504944,46,1,Ohio,Star
504945,62,1,Louisiana,Star
504946,55,1,Nebraska,Star
504947,25,0,Oregon,Star
504948,35,0,Oregon,Star
504949,31,1,Maryland,Star
504950,57,1,Montana,Star
504951,55,0,Florida,Star
504952,54,1,Michigan,Star
504953,59,0,South Dakota,Star
504954,58,0,Hawaii,Star
504955,36,1,Tennessee,Star
504956,62,1,Washington,Star
504957,38,1,Illinois,Star
504958,63,1,Arkansas,Star
504959,43,0,Connecticut,Star
504960,23,0,Arizona,Star
504961,54,1,New Mexico,Star
504962,23,0,Minnesota,Star
504963,43,0,Pennsylvania,Star
504964,31,0,Michigan,Star
504965,17,1,Vermont,Star
504966,18,0,Oklahoma,Star
504967,53,1,Hawaii,Star
504968,28,0,Tennessee,Star
504969,21,0,Rhode Island,Star
504970,43,1,New York,Star
504971,57,0,North Dakota,Star
504972,49,1,Connecticut,Star
504973,18,0,Arizona,Star
504974,33,0,Indiana,Aurora
504975,38,0,Michigan,Star
504976,27,0,Florida,Star
504977,21,1,West Virginia,Star
504978,26,1,North Carolina,Star
504979,32,0,Massachusetts,Star
504980,38,1,Arizona,Star
504981,56,1,South Dakota,Star
504982,42,1,Minnesota,Star
504983,41,1,New York,Star
504984,32,1,Massachusetts,Star
504985,45,0,New Mexico,Star
504986,19,0,North Carolina,Star
504987,30,1,Utah,Star
504988,32,1,Montana,Star
504989,17,1,Texas,Star
504990,20,1,Florida,Star
504991,42,1,South Dakota,Star
504992,56,1,New Mexico,Star
504993,35,1,Nebraska,Star
504994,21,1,Washington,Star
504995,30,1,Wisconsin,Star
504996,63,0,Pennsylvania,Star
504997,32,0,Alaska,Star
504998,30,1,Kansas,Star
504999,18,0,West Virginia,Star
505000,32,0,New Mexico,Star
505001,47,1,Arizona,Star
505002,22,0,Maine,Star
505003,32,1,Georgia,Star
505004,25,0,Wyoming,Star
505005,59,0,Wyoming,Star
505006,37,1,Montana,Star
505007,35,1,South Dakota,Star
505008,23,1,Mississippi,Star
505009,26,1,Mississippi,Star
505010,47,1,South Dakota,Star
505011,55,1,Idaho,Star
505012,46,1,New Mexico,Star
505013,19,1,Missouri,Star
505014,47,1,North Carolina,Star
505015,29,0,Washington,Star
505016,39,1,Alaska,Star
505017,34,1,Oregon,Star
505018,58,1,Utah,Star
505019,47,1,Massachusetts,Star
505020,45,1,Texas,Aurora
505021,36,1,New York,Star
505022,47,0,Oregon,Aurora
505023,34,1,Rhode Island,Star
505024,53,1,Arkansas,Star
505025,50,0,Oklahoma,Star
505026,31,1,Iowa,Star
505027,17,0,Virginia,Star
505028,48,1,Nevada,Star
505029,38,1,New Hampshire,Star
505030,31,0,Illinois,Star
505031,34,0,Washington,Star
505032,63,1,New Mexico,Star
505033,28,1,Iowa,Star
505034,40,1,Maine,Star
505035,55,1,West Virginia,Star
505036,50,1,Oregon,Star
505037,51,1,New Jersey,Star
505038,41,1,Maine,Star
505039,23,1,Georgia,Star
505040,23,1,Indiana,Star
505041,54,0,Texas,Star
505042,16,1,Ohio,Star
505043,49,0,Louisiana,Star
505044,36,0,Minnesota,Star
505045,29,1,Georgia,Star
505046,35,1,Kentucky,Star
505047,24,0,Kansas,Star
505048,43,1,Nevada,Star
505049,41,1,Idaho,Star
505050,40,0,Colorado,Star
505051,19,0,Illinois,Star
505052,46,1,California,Star
505053,43,1,Connecticut,Star
505054,42,1,Minnesota,Star
505055,43,1,South Dakota,Star
505056,60,0,Kentucky,Star
505057,33,1,New York,Star
505058,32,1,Alaska,Star
505059,30,1,New Hampshire,Star
505060,50,1,South Carolina,Star
505061,34,1,Louisiana,Star
505062,17,1,Arizona,Aurora
505063,44,1,Pennsylvania,Star
505064,24,1,New Hampshire,Star
505065,63,1,Iowa,Star
505066,41,0,Louisiana,Star
505067,22,1,Louisiana,Star
505068,40,1,Arizona,Star
505069,33,0,California,Star
505070,55,1,West Virginia,Star
505071,61,1,South Carolina,Aurora
505072,39,1,New Mexico,Star
505073,23,0,Wyoming,Star
505074,61,1,Nebraska,Aurora
505075,37,1,Vermont,Star
505076,52,1,Indiana,Aurora
505077,56,0,Idaho,Star
505078,52,1,Rhode Island,Star
505079,38,0,New York,Star
505080,18,1,Louisiana,Star
505081,24,1,Ohio,Star
505082,33,0,Kentucky,Star
505083,19,1,California,Star
505084,61,1,Colorado,Star
505085,29,1,South Carolina,Star
505086,36,1,Arkansas,Star
505087,63,1,North Dakota,Star
505088,26,1,Idaho,Star
505089,59,1,New York,Star
505090,17,1,Maine,Star
505091,53,1,Missouri,Star
505092,18,0,Colorado,Star
505093,49,1,Rhode Island,Star
505094,43,0,Arkansas,Star
505095,45,1,Indiana,Star
505096,63,1,Oregon,Star
505097,16,1,West Virginia,Star
505098,17,1,Wyoming,Star
505099,38,1,New Jersey,Star
505100,42,1,Connecticut,Star
505101,32,0,Maine,Star
505102,23,0,Missouri,Star
505103,59,0,Virginia,Star
505104,58,1,Utah,Star
505105,53,1,Michigan,Star
505106,28,1,Tennessee,Star
505107,56,1,Massachusetts,Star
505108,55,0,Georgia,Star
505109,19,1,Indiana,Aurora
505110,60,0,Wisconsin,Star
505111,63,1,Wisconsin,Star
505112,53,1,California,Star
505113,54,1,California,Star
505114,61,1,Alabama,Star
505115,57,1,Nevada,Star
505116,43,0,Virginia,Star
505117,51,1,Arizona,Star
505118,20,1,Michigan,Star
505119,56,0,Arkansas,Star
505120,55,1,Hawaii,Star
505121,34,1,Tennessee,Star
505122,51,0,South Dakota,Star
505123,42,0,West Virginia,Star
505124,41,1,Idaho,Star
505125,55,0,Massachusetts,Star
505126,20,0,Washington,Star
505127,29,1,Oregon,Star
505128,38,1,Kentucky,Star
505129,47,0,New Mexico,Star
505130,49,0,Tennessee,Star
505131,31,0,Idaho,Star
505132,59,1,Missouri,Star
505133,21,0,Mississippi,Star
505134,17,1,Mississippi,Star
505135,39,1,New York,Star
505136,29,0,Arizona,Star
505137,32,0,Virginia,Star
505138,21,0,California,Star
505139,42,1,Alabama,Star
505140,18,1,Texas,Star
505141,55,1,South Carolina,Star
505142,21,0,Tennessee,Star
505143,27,1,West Virginia,Star
505144,26,1,Connecticut,Star
505145,49,0,Massachusetts,Star
505146,19,1,Maryland,Star
505147,40,1,Colorado,Star
505148,32,1,Arkansas,Star
505149,16,1,North Carolina,Star
505150,18,0,New Mexico,Star
505151,37,1,Arkansas,Star
505152,41,1,Nevada,Star
505153,33,0,New Mexico,Star
505154,55,1,New Jersey,Star
505155,45,1,Nebraska,Star
505156,53,0,North Dakota,Star
505157,40,1,Oregon,Star
505158,54,0,North Carolina,Star
505159,39,1,North Dakota,Star
505160,49,1,Maine,Star
505161,57,1,Washington,Star
505162,30,1,Virginia,Star
505163,51,1,Ohio,Aurora
505164,54,0,Alaska,Star
505165,29,1,Illinois,Star
505166,34,0,Delaware,Star
505167,61,1,Alabama,Star
505168,46,1,Maryland,Star
505169,25,1,Louisiana,Star
505170,20,1,Kentucky,Star
505171,45,1,Mississippi,Star
505172,18,1,California,Star
505173,31,1,Oklahoma,Star
505174,58,1,Vermont,Star
505175,49,1,Georgia,Star
505176,18,1,North Dakota,Aurora
505177,37,0,Wisconsin,Aurora
505178,33,1,California,Star
505179,62,0,Nebraska,Star
505180,44,1,Arizona,Star
505181,26,0,Rhode Island,Star
505182,46,1,Michigan,Star
505183,54,0,North Dakota,Star
505184,31,1,Minnesota,Star
505185,39,1,Arizona,Star
505186,45,1,Florida,Star
505187,50,1,Alabama,Star
505188,41,1,West Virginia,Star
505189,17,1,Michigan,Aurora
505190,22,1,Alabama,Star
505191,25,1,Alaska,Star
505192,31,1,Maine,Star
505193,59,0,Iowa,Star
505194,20,1,Delaware,Aurora
505195,26,0,Delaware,Star
505196,17,0,Kansas,Star
505197,22,0,Rhode Island,Star
505198,54,1,Wyoming,Star
505199,59,0,North Dakota,Star
505200,17,1,Louisiana,Star
505201,54,0,Mississippi,Star
505202,48,1,Maine,Star
505203,16,1,Minnesota,Star
505204,58,0,Massachusetts,Star
505205,27,0,Wyoming,Star
505206,58,1,Delaware,Star
505207,31,1,Wisconsin,Star
505208,49,1,Arkansas,Star
505209,50,1,Tennessee,Star
505210,23,0,Georgia,Star
505211,45,0,Louisiana,Aurora
505212,26,0,Vermont,Star
